id,parent_id/id,name
dgcp_product_category_10,,"Material, Accesorios y Suministros de Plantas y Animales Vivos"
dgcp_product_category_11,,Materiales de Minerales y Tejidos y de Plantas y Animales no Comestibles
dgcp_product_category_12,,Productos químicos incluyendo los bio-químicos y gases industriales
dgcp_product_category_13,,Resina y Colofonia y Caucho y Espuma y Película y Materiales Elastoméricos
dgcp_product_category_14,,Materiales y Productos de Papel
dgcp_product_category_15,,"Combustibles, Aditivos para combustibles, Lubricantes y Materiales Anticorrosivos"
dgcp_product_category_20,,Maquinaria de minería y perforación de pozos y accesorios
dgcp_product_category_21,,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna."
dgcp_product_category_22,,Maquinaria y Accesorios para Construcción y Edificación
dgcp_product_category_23,,Maquinaria y Accesorios de Fabricación y Transformación Industrial
dgcp_product_category_24,,"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales"
dgcp_product_category_25,,"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes"
dgcp_product_category_26,,Maquinaria y Accesorios para Generación y Distribución de Energía
dgcp_product_category_27,,Herramientas y Maquinaria en General
dgcp_product_category_30,,"Componentes y Suministros de Fabricación, Estructuras, Obras y Construcciones"
dgcp_product_category_31,,Componentes y Suministros de Fabricación
dgcp_product_category_32,,Componentes y Suministros Electrónicos
dgcp_product_category_39,,"Suministros, componentes y accesorios eléctricos y de iluminación"
dgcp_product_category_40,,"Sistemas, Equipos y Componentes de Distribución y Acondicionamiento"
dgcp_product_category_41,,"Equipo de Laboratorio, Medida, Observación y Comprobación"
dgcp_product_category_42,,"Equipo, Accesorios y Suministros Médicos"
dgcp_product_category_43,,Telecomunicaciones y radiodifusión de tecnología de la información
dgcp_product_category_44,,"Equipo, Accesorios y Suministros de Oficina"
dgcp_product_category_45,,"Equipo y Suministros de Imprenta, Fotográficos y Audiovisuales"
dgcp_product_category_46,,"Equipos y Suministros de Defensa, Orden Público, Protección y Seguridad"
dgcp_product_category_47,,Equipo y Suministros de limpieza
dgcp_product_category_48,,"Maquinaria, Equipo y Suministros para la Industria de Servicios"
dgcp_product_category_49,,"Equipos, suministros y accesorios deportivos y recreativos"
dgcp_product_category_50,,"Alimentos, Bebidas y Tabaco"
dgcp_product_category_51,,Medicamentos y Productos Farmacéuticos
dgcp_product_category_52,,"Muebles, Accesorios, Electrodomésticos y Productos Electrónicos de Consumo"
dgcp_product_category_53,,"Ropa, Maletas y Productos de Aseo Personal"
dgcp_product_category_54,,"Productos para Relojería, Joyería y Gemas"
dgcp_product_category_55,,Productos Publicados
dgcp_product_category_56,,Muebles y mobiliario
dgcp_product_category_60,,"Instrumentos musicales, juegos, juguetes, artesanía y equipamiento, material, accesorios y suministros para educación"
dgcp_product_category_70,,"Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna"
dgcp_product_category_71,,"Servicios de Perforación de Minería, Petróleo y Gas"
dgcp_product_category_72,,Servicios de Construcción y Mantenimiento
dgcp_product_category_73,,Servicios de Producción y Fabricación Industrial
dgcp_product_category_76,,Servicios de Limpieza Industrial
dgcp_product_category_77,,Servicios Medioambientales
dgcp_product_category_78,,"Servicios de Transporte, Almacenaje y Correo"
dgcp_product_category_80,,"Servicios de Gestión, Profesionales de Empresa y Administrativos"
dgcp_product_category_81,,"Servicios basados en ingeniería, investigación y tecnología"
dgcp_product_category_82,,"Servicios Editoriales, de Diseño, Gráficos y de Bellas Artes"
dgcp_product_category_83,,Servicios Públicos y Servicios Relacionados con el Sector Público
dgcp_product_category_84,,Servicios Financieros y de Seguros
dgcp_product_category_85,,Servicios Sanitarios
dgcp_product_category_86,,Servicios Educativos y de Formación
dgcp_product_category_90,,"Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento"
dgcp_product_category_91,,Servicios Personales y Domésticos
dgcp_product_category_92,,"Servicios de Defensa Nacional, Orden Público y Seguridad"
dgcp_product_category_93,,Servicios Políticos y de Asuntos Cívicos
dgcp_product_category_94,,Organizaciones y Clubes
dgcp_product_category_1010,dgcp_product_category_10,Animales vivos
dgcp_product_category_1011,dgcp_product_category_10,Productos de casa para el animal doméstico
dgcp_product_category_1012,dgcp_product_category_10,Pienso para animales
dgcp_product_category_1013,dgcp_product_category_10,Recipientes y hábitat para animales
dgcp_product_category_1014,dgcp_product_category_10,Artículos de talabartería y arreos
dgcp_product_category_1015,dgcp_product_category_10,"Semillas, bulbos, plántulas y esquejes"
dgcp_product_category_1016,dgcp_product_category_10,Productos de floricultura y silvicultura
dgcp_product_category_1017,dgcp_product_category_10,"Abonos, nutrientes para plantas y herbicidas"
dgcp_product_category_1019,dgcp_product_category_10,Productos para el control de plagas y malas hierbas
dgcp_product_category_1110,dgcp_product_category_11,"Minerales, minerales metálicos y metales"
dgcp_product_category_1111,dgcp_product_category_11,Tierra y piedra
dgcp_product_category_1112,dgcp_product_category_11,Productos no comestibles de planta y silvicultura
dgcp_product_category_1113,dgcp_product_category_11,Productos animales no comestibles
dgcp_product_category_1114,dgcp_product_category_11,Chatarra y materiales de desecho
dgcp_product_category_1115,dgcp_product_category_11,"Fibra, hilos e hilados"
dgcp_product_category_1116,dgcp_product_category_11,Tejidos y materiales de cuero
dgcp_product_category_1117,dgcp_product_category_11,Aleaciones
dgcp_product_category_1118,dgcp_product_category_11,Óxido metálico
dgcp_product_category_1119,dgcp_product_category_11,Desechos metálicos y chatarra
dgcp_product_category_1213,dgcp_product_category_12,Materiales explosivos
dgcp_product_category_1214,dgcp_product_category_12,Elementos y gases
dgcp_product_category_1215,dgcp_product_category_12,Ácidos y sus sales y ésteres
dgcp_product_category_1216,dgcp_product_category_12,Aditivos
dgcp_product_category_1217,dgcp_product_category_12,Colorantes
dgcp_product_category_1218,dgcp_product_category_12,Ceras y aceites
dgcp_product_category_1219,dgcp_product_category_12,Solventes
dgcp_product_category_1220,dgcp_product_category_12,Fijadores y intermedios químicos
dgcp_product_category_1221,dgcp_product_category_12,Químicos basados en el carbón y productos químicos compuestos
